ID de l'objet,Nom du chercheur,Nom de l'objet,Définition de l'objet,URL de l'image de l'objet,URL de la page du chercheur
1,Félix Tréguer,Procéduralisation de la surveillance numerique,"Face aux controverses de plus en plus vives autour de la surveillance numérique, institutions gouvernamentales et entreprises spécialisées essayent de proposer une gestion procédurale, bureaucratique et technique de ces technologies. Quelles sont les conséquences de cette approche et, surtout, les risques de dépolitisation du débat public au sujet de la surveillance qu’elles entraînent ?",,
2,Kari De Pryck,Experts et organisations expertes internationaux.ales ,"Au croisement de la science et de la politique du changement climatique, le GIEC semble ""faire modèle"" : celui d'une organisation d'experts censée informer la gouvernance internationale par la synthèse de l'état des connaissances scientifiques. Comment se transporte et se transforme ce modèle des relations entre science et politique, quand il passe de la gestion du climat à d'autres enjeux sociétaux, en particulier ceux concernant l'écosystème numérique -- par exemple l'intelligence artificielle, au sujet de laquelle il a été proposé récemment ?",,
3,Valérie Schafer,Rickroll,"Phénomène vernaculaire et viral, 'nativement numérique', consistant à renvoyer les internautes vers un vieux clip de Rick Astley au lieu du contenu qu'ils/elles souhaitaient consulter. Il répresente une exemple de la nature créative et humoristique du Web, mais aussi des circulations, des actions de trolling typiques des cultures numériques. Quelles sont les dimensions politiques, économiques, genrées, culturelles, etc. de ce genre de phénomène ? Que nous apprennent-elles sur les difficultés d'archiver et patrimonialiser les créations culturelles d'Internet malgré leur nature virale et dynamique ?",,
4,Francesca Musiani,Request comment de l'IETF,"Le « Request for Comments » est la pierre angulaire de la procédure de soumission de commentaires sur un standard, proposée par l'Internet Engineering Task Force (IETF), un des plus importants parmi les organismes qui participent au développement des infrastructures de l'Internet. Qu’est-ce que les procédures formelles et les pratiques informelles de l’IETF nous apprennent sur le caractère hétérogène et complexe des infrastructures de l’Internet et sur les réseaux d’acteurs commerciaux, institutionnels et individuels qui participent à sa gouvernance ?",,
5,Camille Paloque-Berges,Blague du Kremvax,Cette célèbre blague d'ingénieur (annoncée le 1er avril 1984) suggérait qu'un ordinateur du Kremlin aurait été connecté à Usenet. Elle constitue une des premières blagues virales dans l'histoire d'Internet. Qu’est-ce que la nature de ce canular et les réactions qu'il produit révèle sur les tensions historiques et les enjeux géopolitiques liés aux infrastructures numériques ?,,
6,Axel Meunier,Atelier sur la modération du débat en ligne,Le collage représente un atelier de design participatif dans lequel les participants mènent une enquête collective pour décider comment modérer une série des tweets. Comment cette mise en situation encourage les participants et les organisateurs à mettre en discussion leurs idées reçues sur les algorithmes et l’intelligence artificielle ?,,
7,Jean-Marc Galan,Photographie de l'équipe du CIS,La photographie de notre équipe en train de discuter autour d’une table constitue un exemple d'une équipe inter- et trans-disciplinaire. Comment une configuration de ce type peut contribuer à l'effort de la médiation scientifique de mettre la société et ses problèmes au centre de la recherche scientifique ?,,
8,Mélanie Dulong de Rosnay,Licences Creative Commons,"Ensemble de licences qui permettent et encouragent les partages des contenus numériques comme ressources partagées, gérées et maintenues collectivement par une communauté. Comment un dispositif légal et règlementaire peut encourager un changement dans la manière dans laquelle nos sociétés regardent les biens numériques ?",,
9,Renata Avila,"Définition de ""open""",La définition de « Savoir Libre » selon la Open Knowledge Foundation. Comment cette définition délimite les activités de l'association mais cherche en même temps à profiter du basculement produit par le numérique pour contribuer à l'ouverture des sociétés contemporaines ?,,
10,Lionel Obadia,Objets technologiques magiques,"Ensemble de technologies numériques avancées dont le fonctionnement est expliqué par un raisonnement qui, tout en étant non-logique, n’est pas pour autant irrationnel. Comment ces objets nous aident à penser les différentes formes de magie digitalisée (magie traduite sur des supports numériques) et magie digitale (magie nativement numérique) ?",,
11,Ksenia Ermoshina,"Message ""digital resistance"" écrit par la block-list russe des IP","Blague d'un informaticien russe visant à écrire en code morse la phrase ""digital resistance"", par le hacking du système d'inscription dans la liste des IP censurées dans l'Internet russe. Qu’est-ce que cette blague nous apprend sur le contrôle du débat public par le contrôle des infrastructures techniques de communication ?",,
12,Olivier Alexandre,Badge d'acces à une conference de la Silicon Valley ,"Ce badge illustre le paradoxe de la Silicon Valley qui se veut un espace social libre et ouvert à chacun et s'inspire d'une idéologie extrêmement méritocratique, tout en étant régie par une série de dispositifs d' hyper-sélection très stricts. Qu’est ce qu’un badge nous raconte sur les politiques d’accès des inventeurs des technologies numériques ?",,
13,Enka Blanchard,Bulletin de vote,"Système de vote papier qui permet de voter de manière complètement anonyme mais aussi de vérifier le bon dépouillement de son vote. Comment peut-on développer des systèmes technologiques qui, tout en étant imparfaits, permettent d'accueillir une diversité des besoins souvent contradictoires ?",,
14,Bilel Benbouzid,Réseau d'hyperliens des documents de la gouvernance de l'IA,"Réseau obtenu par l'analyse semi-automatique d'un large corpus de documents décrivant ou proposant la régulation de l'intelligence artificielle. Parmi les différentes solutions proposées, quelle va être l’approche choisie par nos sociétés pour gérer le déploiement des innovations liées à l’IA ?",,
15,Federico Pilati,Réseau des communautés diffusant des désinformations en ligne,Le réseau montre comment la désinformation en ligne ne se diffuse pas de manière homogène sur les réseaux mais en suivant des lignes de fracture communautaires. Comment pouvons-nous définir la désinformation numérique de manière plus réaliste afin de s’y opposer plus efficacement ?,,
16,Tommaso Venturini,Iceberg d'Undertale,"Une des dizaines de représentations du monde de Undertale, un petit vidéo-jeu indépendant qui a engendré une énorme production (sub)culturelle dans la culture d'Internet, dont l’immensité s'étend en profondeur plutôt qu’en largeur. Qu’est-ce que ce petit, mais aussi très grand, exemple nous apprend sur la nature fractale des cultures Internet ?",,
